Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
080686823766,Whiskey(Canadian),1,2919,n,n,Canadinclub,750ml,n,n,1,1,2014,n,,0,,,,,,n,,,,,,,
080686824053,Whiskey,1,3619,y,n,Canadian club 9yr,1.75 L,n,n,1,1,2781,n,,3,,,,,,n,,,,,,,
080686824060,Whiskey(Canadian),1,2029,n,n,Canadian club 9yr,750ml,n,n,1,1,1558,n,,3,,,,,,n,,,,,,,
080686831013,Alcohol,1,1909,n,n,SAUZA HACIENDA TEQ GOLD 80,750ML,,n,1,1,1465,n,,3,,,,,,n,,,,,,,
080686831211,Tequila,1,3319,n,n,SAUZA HACIENDA TEQ GOLD 80,1.75LT,,n,1,1,2550,n,,6,,,,,,n,,,,,,,
080686832010,Alcohol,1,1909,n,n,SAUZA HACIENDA TEQ SILVER 80,750ML,,n,1,1,1465,n,,3,,,,,,n,,,,,,,
080686832225,Tequila,1,3319,n,n,SAUZA HACIENDA TEQ SILVER 80,1.75LT,,n,1,1,2550,n,,6,,,,,,n,,,,,,,
080686833161,Tequila,1,2129,n,n,100 anos repso 80,750ml,n,n,1,1,1639,n,,3,,,,,0,n,,,,,,,
080686833215,Tequila,1,2129,n,n,100 ANOS BLUS AGAVE 750 ML,750 ML,n,n,1,1,1639,n,,3,,,,,0,n,,,,,,,
080686835028,Tequila,1,2929,n,n,Hornitos Reposado ,750ml,,n,1,1,2255,n,,6,,,,,,n,,,,,,,
080686835035,Tequila,1,0,n,n,Hornitos Reposado Sauza,375ml,,n,1,1,1025,n,,0,,,,,,n,,,,,,,
080686835059,Tequila,1,5229,n,n,HORNITOS TEQ REPOSADO 80,1.75L,n,n,1,1,4020,n,,6,,,,,,n,,,,,,,
080686835318,Tequila,1,0,n,n,Hornitos Plata 375ML,375ML,,n,1,1,1225,n,,0,,,,,,n,,,,,,,
080686835325,Tequila,1,2829,n,n,Hornitos Plata Sauza,750ml,n,n,1,1,2180,n,,6,,,,,,n,,,,,,,
080686835349,Tequila,1,4929,n,n,HORNITOS TEQ PLATA 80,1.75L,n,n,1,1,3795,n,,6,,,,,,n,,,,,,,
080686835424,Tequila,1,3572,n,n,Hornitos Añejo ,750ml,n,n,1,1,2748,n,,3,,,,,,n,,,,,,,
080686835486,Tequila,1,2834,n,n,Hornitos Lime ,750 ml,n,n,1,1,2180,n,,3,,,,,,n,,,,,,,
080686835585,Tequila,1,0,n,n,Hornitos black,750 ml,,n,1,1,2573,n,,0,,,,,,n,,,,,,,
080686835806,Tequila,1,0,n,n,Hornitos Cristalino Añejo,750ml,,n,1,1,2573,n,,0,,,,,,n,,,,,,,
080686836018,Alcohol,1,4229,n,n,TRES GEN TEQ PLATA 80,750ML,,n,1,1,3250,n,,3,,,,,,n,,,,,,,
080686836025,Alcohol,1,4909,n,n,TRES GEN TEQ ANEJO 80,750ML,,n,1,1,3775,n,,3,,,,,,n,,,,,,,
080686836032,Alcohol,1,4619,n,n,TRES GEN TEQ REPOSADO 80,750ML,,n,1,1,3550,n,,3,,,,,,n,,,,,,,
080686836247,Alcohol,1,6139,n,n,TRES GEN TEQ ANEJO CRISTALINO 80,750ML,,n,1,1,4725,n,,3,,,,,,n,,,,,,,
080686846246,Cocktail,1,1250,n,n,Hornitos RanchWater4pk,355ml,,n,1,1,950,n,,0,,,,,,n,,,,,,,
